T	i	0.0322404804271641
V	være	0.030935463606501
CC	og	0.0296007020873918
P	en	0.0253585933517205
P	den	0.0248530479877218
T	på	0.0153180160799095
T	til	0.0152311044168289
P	det	0.0147416726637171
U	at	0.0145099408399794
T	af	0.0141683654191358
V	have	0.0141026891694366
T	for	0.0129306780108177
U	der	0.0128903272789881
SC	at	0.0112893932329769
T	med	0.0112550014465284
U	som	0.00994214016343829
D	ikke	0.00925109483086469
V	kunne	0.00683768304050003
V	blive	0.00640145599804168
P	han	0.0063829588090024
T	om	0.00608752852732537
CC	men	0.00591391976766766
P	jeg	0.00563974935772991
P	vi	0.00556168050277641
T	fra	0.00520294532037365
P	de	0.00481552493111962
V	skulle	0.00460186338690137
D	så	0.00421004494019816
P	man	0.00420731449806086
V	ville	0.00414692347715674
P	sig	0.00412805941274885
A	megen	0.00412510217492913
V	få	0.00381861226850377
V	sige	0.00371318785197432
NC	år	0.00356138816536527
D	også	0.00328106536667026
P	anden	0.00311531996907979
A	god	0.00309121848084908
P	nogen	0.00296544026356647
A	stor	0.0028997895839687
T	ved	0.00284613239369392
V	komme	0.00275456141343196
P	sin	0.0027150522714631
D	hvor	0.00267071149206397
P	hun	0.00242485274314764
CC	eller	0.00220239174880042
P	al	0.00214791075656157
D	ud	0.00214440876440664
A	ny	0.00209002338211234
A	hel	0.00207414768434332
D	nu	0.00207267351240762
V	gå	0.00205256318348999
T	efter	0.00204904006820778
V	gøre	0.00199218550350837
V	se	0.00197203848705387
A	dansk	0.00193841158016175
SC	når	0.00187062301773417
T	over	0.00184844262234273
D	op	0.0018323779281717
P	denne	0.00177026481652219
NC	dag	0.00175385659359691
A	mangen	0.00174751298495055
SC	hvis	0.00169925886828623
V	tage	0.00156195854094213
CC	da	0.00155520581067259
NC	krone	0.0014532033407631
A	mange	0.00143724759745912
D	her	0.00137771817779946
P	deres	0.00135492965869096
NC	gang	0.00131941723475289
NC	tid	0.00131086903866423
V	måtte	0.00128341564365666
V	give	0.00125207225799826
T	mod	0.00123689807040377
SC	end	0.0012221396748937
V	finde	0.00120452187499555
P	hvad	0.0012003239313838
D	kun	0.00119224489106955
D	ind	0.00117094722004987
V	stå	0.00115828557285859
P	du	0.00114730488190169
T	blandt	0.00109369104962502
A	lang	0.00108135736677841
A	første	0.0010367286458021
T	under	0.00102869629871659
CC	så	0.00102576463099832
NC	sted	0.00100969882508374
NC	land	0.00100827468160741
P	hans	0.000952350646252018
P	selv	0.000951851473401998
NC	barn	0.000948803072611896
NC	procent	0.000946642954911252
SC	fordi	0.000943094269527589
D	jo	0.000935949093787989
D	derfor	0.000928582681083681
D	lige	0.00090012426991482
D	sammen	0.000898292116558844
A	sen	0.00089630209562001
A	sidste	0.000891622767054898
NC	mand	0.000890245316807292
D	selv	0.000888059629005199
P	ingen	0.000886453159588096
T	mellem	0.000876420785871876
V	sætte	0.000846888430442169
V	vise	0.000841752175281605
V	holde	0.000834353522014601
A	lidt	0.000827395119189931
SC	om	0.000819237145084254
V	bruge	0.000818456701118298
A	lille	0.000816742392577694
A	tidlig	0.000815597296730209
P	hver	0.000810406566136123
A	samme	0.000795136768597085
V	mene	0.000794020578081672
D	både	0.000788884322921107
NC	del	0.000777363324603156
D	med	0.00077656509274054
A	gammel	0.00075959210409631
D	nok	0.000751883274381298
